trip_energy_consumption,vehicle_id,time_of_day,day_of_the_week,longitude,latitude,speed,current,total_voltage,maximum_cell_temperature_of_battery,minimum_cell_temperature_of_battery,trip_time_length,power(kw),fuel_date,odometer,quantity(kwh),tire_type,city,motor_way,country_roads,driving_style,consumption(kwh/100km),ecr_deviation,trip_distance_km,temperature,percentage,charging_time,charge_energy
1.344,1,19.0,5,121.5497087,31.25779592,369.24,1.540014952,308.06,30.0,30.0,16,49,02.08.2018,163564,1.8,0,1,0,1,0,11.27,-3.73,8.0,0.0,69.0,5.0,55.0
0.896,1,16.0,4,121.5726402,31.21138859,559.2758621,-1.999985228,304.6896552,31.0,30.0,21,49,02.08.2018,163564,1.8,0,1,0,1,0,11.27,-3.73,8.0,0.0,69.0,5.0,55.0
1.344,1,19.54285714,6,121.5457169,31.26026891,168.6285714,9.525728997,307.0828571,28.0,28.0,20,49,02.08.2018,163564,1.8,0,1,0,1,0,11.27,-3.73,8.0,0.0,69.0,5.0,55.0
4.704,1,11.36526946,6,121.538705,31.28075946,49.35329341,3.001212516,305.4035928,16.71257485,15.74850299,190,49,16.12.2017,148605,4.2,1,1,1,1,2,15.69,0.6899999999999995,23.0,9.0,69.0,1.0,55.0
4.704,1,11.36526946,6,121.538705,31.28075946,49.35329341,3.001212516,305.4035928,16.71257485,15.74850299,190,49,29.01.2017,125332,7.58,1,1,0,1,0,14.15,-0.8499999999999996,23.0,9.0,5.0,5.0,55.0
2.912,1,20.07086614,6,121.5981109,31.27203135,45.28346457,2.974030689,303.6448819,15.0,14.91338583,157,49,30.03.2017,129094,2.7,0,0,0,1,0,12.11,-2.890000000000001,15.0,7.0,69.0,1.0,55.0
2.688,1,19.0,2,121.5665628,31.26190565,174.5294118,6.294132747,306.5470588,20.0,19.70588235,32,49,18.11.2018,173131,3.4,1,0,0,1,0,13.19,-1.8100000000000005,13.0,2.0,5.0,3.0,40.0
1.344,1,16.0,2,121.5336722,31.26125008,273.8461538,2.723091631,303.9153846,17.0,16.53846154,17,49,02.08.2018,163564,1.8,0,1,0,1,0,11.27,-3.73,8.0,0.0,69.0,5.0,55.0
2.016,1,8.991666667,4,121.4785941,31.26714935,42.20833333,1.514181584,307.26,15.99166667,15.98333333,153,49,18.11.2018,173131,3.4,1,0,0,1,0,13.19,-1.8100000000000005,13.0,2.0,5.0,3.0,40.0
2.24,1,16.00657895,6,121.5271209,31.27947056,43.16447368,2.098699142,308.5493421,19.0,18.90789474,162,49,30.03.2017,129094,2.7,0,0,0,1,0,12.11,-2.890000000000001,15.0,7.0,69.0,1.0,55.0
2.016,1,20.0859375,6,121.6000777,31.26845674,62.765625,4.182827546,307.3117187,19.9296875,19.859375,145,49,18.11.2018,173131,3.4,1,0,0,1,0,13.19,-1.8100000000000005,13.0,2.0,5.0,3.0,40.0
4.032,1,8.94214876,2,121.490646,31.26849845,99.34710744,2.515717355,307.568595,14.83471074,12.91735537,176,49,29.12.2018,174976,5.8,1,1,1,1,0,14.45,-0.5500000000000007,22.0,7.0,5.0,4.0,55.0
4.032,1,8.94214876,2,121.490646,31.26849845,99.34710744,2.515717355,307.568595,14.83471074,12.91735537,176,49,03.11.2018,172307,5.23,0,1,1,1,0,13.66,-1.34,22.0,3.0,100.0,75.0,123.0
4.032,1,17.71428571,2,121.5575368,31.27221286,191.8333333,6.830967221,303.2333333,11.66666667,10.71428571,67,49,22.08.2017,141509,2.95,0,0,0,1,0,11.86,-3.140000000000001,19.0,4.0,5.0,5.0,55.0
4.032,1,12.34042553,3,121.5748053,31.27367864,200.0638298,6.206398094,302.8468085,9.574468085,8.489361702,63,49,01.09.2018,166167,3.1,0,1,0,1,1,12.13,-2.869999999999999,21.0,3.0,100.0,25.0,55.0
3.136,1,15.81967213,6,121.5289089,31.27965411,68.57377049,1.748375523,305.0139344,12.86885246,12.81967213,165,49,16.03.2018,152659,2.74,1,1,0,1,0,15.22,0.2200000000000006,18.0,2.0,5.0,25.0,55.0
3.136,1,15.81967213,6,121.5289089,31.27965411,68.57377049,1.748375523,305.0139344,12.86885246,12.81967213,165,49,30.12.2017,149297,4.09,1,1,0,1,0,15.43,0.4299999999999997,18.0,5.0,100.0,25.0,55.0
3.808,1,17.68571429,2,121.5435501,31.27292849,18.54285714,2.237157796,303.8114286,9.542857143,9.057142857,77,49,16.03.2018,152659,2.74,1,1,0,1,0,15.22,0.2200000000000006,18.0,2.0,5.0,25.0,55.0
3.808,1,17.68571429,2,121.5435501,31.27292849,18.54285714,2.237157796,303.8114286,9.542857143,9.057142857,77,49,30.12.2017,149297,4.09,1,1,0,1,0,15.43,0.4299999999999997,18.0,5.0,100.0,25.0,55.0
4.48,1,17.76,3,121.5625846,31.27027784,37.92,8.29201494,301.708,8.48,8.36,65,49,16.03.2018,152659,2.74,1,1,0,1,0,15.22,0.2200000000000006,18.0,2.0,5.0,25.0,55.0
4.48,1,17.76,3,121.5625846,31.27027784,37.92,8.29201494,301.708,8.48,8.36,65,49,30.12.2017,149297,4.09,1,1,0,1,0,15.43,0.4299999999999997,18.0,5.0,100.0,25.0,55.0
4.032,1,11.24528302,6,121.5314774,31.28103096,9.547169811,1.438694168,308.0584906,14.74528302,12.83018868,184,49,26.06.2018,160471,4.66,0,1,0,1,0,12.53,-2.4700000000000006,17.0,0.0,0.0,5.0,55.0
4.032,1,11.24528302,6,121.5314774,31.28103096,9.547169811,1.438694168,308.0584906,14.74528302,12.83018868,184,49,06.04.2018,153871,3.12,1,1,0,1,0,13.45,-1.5500000000000007,17.0,6.0,100.0,5.0,55.0
